partner_code,source_name,source_note,source_iso_alpha3,source_is_group,partner_type,classification_status,map_iso3,reconciliation_role,source_url,retrieved_at,classification_source_url,classification_note,mapping_source_url,mapping_note
0,World,World,W00,true,world,verified,,world,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,Global total; separate from partner detail,,No individual country geometry for World
32,Argentina,Argentina,ARG,false,country,verified,ARG,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Argentina,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
36,Australia,Australia,AUS,false,country,verified,AUS,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Australia,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
40,Austria,Austria,AUT,false,country,verified,AUT,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Austria,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
56,Belgium,Belgium,BEL,false,country,verified,BEL,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Belgium,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
76,Brazil,Brazil,BRA,false,country,verified,BRA,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Brazil,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
100,Bulgaria,Bulgaria,BGR,false,country,verified,BGR,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Bulgaria,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
116,Cambodia,Cambodia,KHM,false,country,verified,KHM,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Cambodia,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
124,Canada,Canada,CAN,false,country,verified,CAN,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Canada,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
144,Sri Lanka,Sri Lanka,LKA,false,country,verified,LKA,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Sri Lanka,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
152,Chile,Chile,CHL,false,country,verified,CHL,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Chile,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
