period,detail_rows,detail_amount,detail_checksums,detail_revisions,world_rows,world_amount,world_checksums,world_revisions,detail_attestations,world_attestations,quality_status,reason_codes,latest_quality_run_id,latest_tested_at,published_rows,published_run_id,published_at,detail_s3,world_s3,coverage_status
202301,67,2799575181,1,1,1,2799575181,1,1,2,1,PASS,,real-202301-quality-v1,2026-09-22 17:02:50.244718+00:00,67,real-202301-quality-v1,2026-09-23 04:52:24.953000+00:00,True,True,published_pass
202302,73,2944145048,1,1,1,2944145048,1,1,1,1,PASS,,day11-202302-final-v1,2026-09-24 04:14:14.779407+00:00,73,day11-202302-final-v1,2026-09-24 04:14:17.279000+00:00,True,True,published_pass
202303,70,3379107698,1,1,1,3379107698,1,1,1,1,PASS,,day11-202303-final-v1,2026-09-24 04:14:29.835751+00:00,70,day11-202303-final-v1,2026-09-24 04:14:31.724000+00:00,True,True,published_pass
202304,68,2689984431,1,1,1,2689984431,1,1,1,1,PASS,,day11-202304-final-v1,2026-09-24 04:14:44.679705+00:00,68,day11-202304-final-v1,2026-09-24 04:14:46.620000+00:00,True,True,published_pass
202305,63,3162642177,1,1,1,3162642177,1,1,1,1,PASS,,day11-202305-final-v1,2026-09-24 04:14:59.574332+00:00,63,day11-202305-final-v1,2026-09-24 04:15:01.758000+00:00,True,True,published_pass
202306,61,3156758175,1,1,1,3156758175,1,1,1,1,PASS,,day11-202306-final-v1,2026-09-24 04:15:16.852300+00:00,61,day11-202306-final-v1,2026-09-24 04:15:19.029000+00:00,True,True,published_pass
202307,65,3124596099,1,1,1,3124596099,1,1,1,1,PASS,,day11-202307-final-v1,2026-09-24 04:15:31.806098+00:00,65,day11-202307-final-v1,2026-09-24 04:15:33.748000+00:00,True,True,published_pass
202308,62,2928869980,1,1,1,2928869980,1,1,1,1,PASS,,day11-202308-final-v1,2026-09-24 04:15:45.698515+00:00,62,day11-202308-final-v1,2026-09-24 04:15:47.857000+00:00,True,True,published_pass
202309,64,3089289845,1,1,1,3089289845,1,1,1,1,PASS,,day11-202309-final-v1,2026-09-24 04:16:00.141139+00:00,64,day11-202309-final-v1,2026-09-24 04:16:02.290000+00:00,True,True,published_pass
202310,68,2930941997,1,1,1,2930941997,1,1,1,1,PASS,,day11-202310-final-v1,2026-09-24 04:16:16.172804+00:00,68,day11-202310-final-v1,2026-09-24 04:16:18.076000+00:00,True,True,published_pass
202311,66,2843597323,1,1,1,2843597323,1,1,1,1,PASS,,day11-202311-final-v1,2026-09-24 04:16:33.980953+00:00,66,day11-202311-final-v1,2026-09-24 04:16:35.696000+00:00,True,True,published_pass
202312,67,3013313347,1,1,1,3013313347,1,1,1,1,PASS,,day11-202312-final-v1,2026-09-24 04:16:48.564800+00:00,67,day11-202312-final-v1,2026-09-24 04:16:50.893000+00:00,True,True,published_pass
202401,62,2809141496,1,1,1,2809141496,1,1,1,1,PASS,,day11-202401-final-v1,2026-09-24 04:17:03.723870+00:00,62,day11-202401-final-v1,2026-09-24 04:17:05.891000+00:00,True,True,published_pass
202402,61,2381713667,1,1,1,2381713667,1,1,1,1,PASS,,day11-202402-final-v1,2026-09-24 04:17:18.740456+00:00,61,day11-202402-final-v1,2026-09-24 04:17:20.583000+00:00,True,True,published_pass
202403,67,3280964943,1,1,1,3280964943,1,1,1,1,PASS,,day11-202403-final-v1,2026-09-24 04:17:33.455673+00:00,67,day11-202403-final-v1,2026-09-24 04:17:35.334000+00:00,True,True,published_pass
202404,61,2866042872,1,1,1,2866042872,1,1,1,1,PASS,,day11-202404-final-v1,2026-09-24 04:17:47.406993+00:00,61,day11-202404-final-v1,2026-09-24 04:17:49.491000+00:00,True,True,published_pass
202405,62,3171305458,1,1,1,3171305458,1,1,1,1,PASS,,day11-202405-final-v1,2026-09-24 04:18:01.967072+00:00,62,day11-202405-final-v1,2026-09-24 04:18:04.068000+00:00,True,True,published_pass
202406,70,3714879517,1,1,1,3714879517,1,1,1,1,PASS,,day11-202406-final-v1,2026-09-24 04:18:16.663439+00:00,70,day11-202406-final-v1,2026-09-24 04:18:18.520000+00:00,True,True,published_pass
202407,68,3475251694,1,1,1,3475251694,1,1,1,1,PASS,,day11-202407-final-v1,2026-09-24 04:18:31.923861+00:00,68,day11-202407-final-v1,2026-09-24 04:18:33.749000+00:00,True,True,published_pass
202408,66,3348665576,1,1,1,3348665576,1,1,1,1,PASS,,day11-202408-final-v1,2026-09-24 04:18:46.797357+00:00,66,day11-202408-final-v1,2026-09-24 04:18:49.559000+00:00,True,True,published_pass
202409,62,4314638299,1,1,1,4314638299,1,1,1,1,PASS,,day11-202409-final-v1,2026-09-24 04:19:02.771965+00:00,62,day11-202409-final-v1,2026-09-24 04:19:04.909000+00:00,True,True,published_pass
202410,60,3551796876,1,1,1,3551796876,1,1,1,1,PASS,,day11-202410-final-v1,2026-09-24 04:19:19.150860+00:00,60,day11-202410-final-v1,2026-09-24 04:19:20.968000+00:00,True,True,published_pass
202411,60,3417361071,1,1,1,3417361071,1,1,1,1,PASS,,day11-202411-final-v1,2026-09-24 04:19:33.972812+00:00,60,day11-202411-final-v1,2026-09-24 04:19:35.811000+00:00,True,True,published_pass
202412,67,4054690213,1,1,1,4054690213,1,1,1,1,PASS,,day11-202412-final-v1,2026-09-24 04:19:48.607335+00:00,67,day11-202412-final-v1,2026-09-24 04:19:50.450000+00:00,True,True,published_pass
